.metric,.estimator,.estimate,.config,experiment
rmse,standard,0.9878066093994343,Preprocessor1_Model1,1
rsq,standard,0.6532120563618187,Preprocessor1_Model1,1
rmse,standard,0.9915563618032565,Preprocessor1_Model1,10
rsq,standard,0.6606522547340401,Preprocessor1_Model1,10
rmse,standard,1.0460589654917218,Preprocessor1_Model1,100
rsq,standard,0.6404250394527339,Preprocessor1_Model1,100
rmse,standard,1.0721943725957817,Preprocessor1_Model1,11
rsq,standard,0.6207155547264379,Preprocessor1_Model1,11
rmse,standard,1.002822210395635,Preprocessor1_Model1,12
rsq,standard,0.6415858931519022,Preprocessor1_Model1,12
rmse,standard,1.0258499678524595,Preprocessor1_Model1,13
rsq,standard,0.6417319196839117,Preprocessor1_Model1,13
rmse,standard,1.037816575043929,Preprocessor1_Model1,14
rsq,standard,0.6280782417306849,Preprocessor1_Model1,14
rmse,standard,1.0327888610001619,Preprocessor1_Model1,15
rsq,standard,0.6322573242917027,Preprocessor1_Model1,15
rmse,standard,0.9739480975889913,Preprocessor1_Model1,16
rsq,standard,0.6564274713393321,Preprocessor1_Model1,16
rmse,standard,0.9748692071468571,Preprocessor1_Model1,17
rsq,standard,0.6761500940340184,Preprocessor1_Model1,17
rmse,standard,1.0704817167119973,Preprocessor1_Model1,18
rsq,standard,0.6140170252203666,Preprocessor1_Model1,18
rmse,standard,0.9818643714686907,Preprocessor1_Model1,19
rsq,standard,0.6553583229008577,Preprocessor1_Model1,19
rmse,standard,0.9623986493030042,Preprocessor1_Model1,2
rsq,standard,0.6589719523062172,Preprocessor1_Model1,2
rmse,standard,1.0320172595850454,Preprocessor1_Model1,20
rsq,standard,0.6334324914622464,Preprocessor1_Model1,20
rmse,standard,0.9640836627818579,Preprocessor1_Model1,21
rsq,standard,0.6753404671177103,Preprocessor1_Model1,21
rmse,standard,1.0381734136485983,Preprocessor1_Model1,22
rsq,standard,0.6361813649871799,Preprocessor1_Model1,22
rmse,standard,1.0304154624488862,Preprocessor1_Model1,23
rsq,standard,0.6339976366882751,Preprocessor1_Model1,23
rmse,standard,0.9818548883892919,Preprocessor1_Model1,24
rsq,standard,0.6420199628766998,Preprocessor1_Model1,24
rmse,standard,1.0278771342305473,Preprocessor1_Model1,25
rsq,standard,0.6521820263955764,Preprocessor1_Model1,25
rmse,standard,0.983317435874772,Preprocessor1_Model1,26
rsq,standard,0.6513060806512627,Preprocessor1_Model1,26
rmse,standard,1.0446175796442536,Preprocessor1_Model1,27
rsq,standard,0.6244088622888307,Preprocessor1_Model1,27
rmse,standard,0.9666202004250718,Preprocessor1_Model1,28
rsq,standard,0.6687794431110109,Preprocessor1_Model1,28
rmse,standard,1.0118215816184915,Preprocessor1_Model1,29
rsq,standard,0.648526824684039,Preprocessor1_Model1,29
rmse,standard,0.9959046198471224,Preprocessor1_Model1,3
rsq,standard,0.6515412552228877,Preprocessor1_Model1,3
rmse,standard,1.0582552601554478,Preprocessor1_Model1,30
rsq,standard,0.6266873220310636,Preprocessor1_Model1,30
rmse,standard,1.0385909439011836,Preprocessor1_Model1,31
rsq,standard,0.6331445515233073,Preprocessor1_Model1,31
rmse,standard,1.016613871931829,Preprocessor1_Model1,32
rsq,standard,0.636740707236488,Preprocessor1_Model1,32
rmse,standard,1.0542148091671788,Preprocessor1_Model1,33
rsq,standard,0.6355077749150408,Preprocessor1_Model1,33
rmse,standard,1.0293752251346249,Preprocessor1_Model1,34
rsq,standard,0.6135488016385163,Preprocessor1_Model1,34
rmse,standard,1.0463588331823002,Preprocessor1_Model1,35
rsq,standard,0.6119552201476094,Preprocessor1_Model1,35
rmse,standard,1.0057894708843236,Preprocessor1_Model1,36
rsq,standard,0.6429260595215439,Preprocessor1_Model1,36
rmse,standard,1.0082871057592477,Preprocessor1_Model1,37
rsq,standard,0.6476732241909604,Preprocessor1_Model1,37
rmse,standard,1.0414459898390311,Preprocessor1_Model1,38
rsq,standard,0.6259083954244945,Preprocessor1_Model1,38
rmse,standard,0.9756475659387599,Preprocessor1_Model1,39
rsq,standard,0.6710855973035609,Preprocessor1_Model1,39
rmse,standard,1.0010735928891072,Preprocessor1_Model1,4
rsq,standard,0.634340707644949,Preprocessor1_Model1,4
rmse,standard,0.9631455547046721,Preprocessor1_Model1,40
rsq,standard,0.6543260762410503,Preprocessor1_Model1,40
rmse,standard,1.0097385972744175,Preprocessor1_Model1,41
rsq,standard,0.6400863386985427,Preprocessor1_Model1,41
rmse,standard,1.0161618246157402,Preprocessor1_Model1,42
rsq,standard,0.6423953536206923,Preprocessor1_Model1,42
rmse,standard,0.9919481784607364,Preprocessor1_Model1,43
rsq,standard,0.6689351034683289,Preprocessor1_Model1,43
rmse,standard,1.0859386903967336,Preprocessor1_Model1,44
rsq,standard,0.6001888540776498,Preprocessor1_Model1,44
rmse,standard,1.0324884627675917,Preprocessor1_Model1,45
rsq,standard,0.6536898072040704,Preprocessor1_Model1,45
rmse,standard,1.0386312459092613,Preprocessor1_Model1,46
rsq,standard,0.6448214464185097,Preprocessor1_Model1,46
rmse,standard,0.9534848204416816,Preprocessor1_Model1,47
rsq,standard,0.6760855645178361,Preprocessor1_Model1,47
rmse,standard,1.0647419647355578,Preprocessor1_Model1,48
rsq,standard,0.6139249381024978,Preprocessor1_Model1,48
rmse,standard,1.0334047243307234,Preprocessor1_Model1,49
rsq,standard,0.6273138272917251,Preprocessor1_Model1,49
rmse,standard,1.043313016569093,Preprocessor1_Model1,5
rsq,standard,0.6366729284068663,Preprocessor1_Model1,5
rmse,standard,1.056336116294906,Preprocessor1_Model1,50
rsq,standard,0.6267105886754567,Preprocessor1_Model1,50
rmse,standard,0.9866009344938158,Preprocessor1_Model1,51
rsq,standard,0.6604989132486522,Preprocessor1_Model1,51
rmse,standard,1.078056226880706,Preprocessor1_Model1,52
rsq,standard,0.6307070129926912,Preprocessor1_Model1,52
rmse,standard,1.0018587175597586,Preprocessor1_Model1,53
rsq,standard,0.66355689267914,Preprocessor1_Model1,53
rmse,standard,1.0126123361792998,Preprocessor1_Model1,54
rsq,standard,0.6468155949407085,Preprocessor1_Model1,54
rmse,standard,1.008910463533943,Preprocessor1_Model1,55
rsq,standard,0.6492478405879242,Preprocessor1_Model1,55
rmse,standard,1.0478801004721412,Preprocessor1_Model1,56
rsq,standard,0.6242352146174932,Preprocessor1_Model1,56
rmse,standard,1.0581902105852286,Preprocessor1_Model1,57
rsq,standard,0.6202191232409118,Preprocessor1_Model1,57
rmse,standard,1.0966844111348866,Preprocessor1_Model1,58
rsq,standard,0.611644248153045,Preprocessor1_Model1,58
rmse,standard,1.0102038964091653,Preprocessor1_Model1,59
rsq,standard,0.6486084196705786,Preprocessor1_Model1,59
rmse,standard,1.037938719590119,Preprocessor1_Model1,6
rsq,standard,0.6357959730198114,Preprocessor1_Model1,6
rmse,standard,1.082860141302687,Preprocessor1_Model1,60
rsq,standard,0.6173051115744045,Preprocessor1_Model1,60
rmse,standard,1.031007457471319,Preprocessor1_Model1,61
rsq,standard,0.625691107907486,Preprocessor1_Model1,61
rmse,standard,1.0982374700269284,Preprocessor1_Model1,62
